Date ,Title,Time,Audience,Location,Sponsor,Expected Revenue,Expenses,Profit,,Total 2026 Revenue,"$42,750.00"
January,,,,,,,,,,,
Jan 27th ,Forseeable Future,6:00 PM,GPs and LPs,,JPMW,"$2,500.00","$4,000.00","-$1,500.00",,,
,,,,,,,,,,,
,TOTALS,,,,,"$2,500.00","$4,000.00","-$1,500.00",,,
February,,,,,,,,,,,
February 12th ,A Bespoke Evening: Michael Andrews suiting,6:00 PM,GPs&LPs,NYC,Sydecar,"$5,000.00",$700.00,"$4,300.00",,,
February 19th,RVIP LP Dinner,6:30 PM,,Nashville,RVIP,,,,,,
,TOTALS,,,,,"$5,000.00",$700.00,"$4,300.00",,,
March,,,,,,,,,,,
March 5th,Oceans Gun Club Night,6:30 PM,,NYC,Fidelity,"$5,000.00","$5,538.00",-$538.00,,,
March 14/16,SxSW Wellness House,All Day,,Austin,Gunderson,"$2,000.00","$1,000.00","$1,000.00",look at FourSeasons activation,,
March 18th,GP & LP Event with Angelist ,18:30,,,Angelist ,$0.00,$0.00,$0.00,,,
March 24th,Interesting Persons Dinner,6:30,,NYC,Reitler,"$3,000.00","$1,100.00","$1,900.00",,,
,TOTALS,,,,,"$10,000.00","$7,638.00","$2,362.00",,,
April,,,,,,,,,,,
April 15th ,Otis AI CPG Founder + Investor Dinner,,,,Otis / Gunderson,"$3,250.00",$0.00,"$3,250.00",,,
April 22nd,Right to Invest dinner,6:30 PM,,Magic Room at The Ned (text layni) ,Matt Hooper --> resident?,$0.00,$0.00,$0.00,,,
,TOTALS,,,,,"$3,250.00",$0.00,"$3,250.00",,,
May,,,,,,,,,,,
May 5-6,RVIP Allocator Intimate Dinner (6-8 ppl),6:30 PM,,SF,Insight & SUSA,,,,,,
May 13th,Series A/B Dinner,6:30 PM,,Carne Mare,"RAMP (5K), Hubspot (2.5k), WARP ($5K)","$12,500.00","$3,500.00","$9,000.00",,,
May 19th,Allocators Wine Tasting Event,6:30 PM,,The Ned,VectorAIS (4k) / JPM PB ($500) / UBS (5k),"$9,500.00","$3,400.00","$6,100.00",,,
May 20th,Pier x The Ned x Wristcheck Timepieces Event,6:30 PM,Watch Collectors,The Ned,need a sponsor,,,,,,
May 22nd,Austin COTA Raceday,All day,,COTA Raceway,"GP Labs, Entre",,,,,,
May 29th ,Boston TechWeek,6:30 PM,partnership with Entre ,Boston,Entre ,,,,,,
,TOTALS,,,,,"$22,000.00","$6,900.00","$15,100.00",,,
June,,,,,,,,,,,
June 1st,Right to Invest - Techweek,,,NYC,Sydecar,,,,,,
June 8th,Foreseeable Future VIP Dinner,,,,,,,,,,
June 9th,Foreseeable Future Gala,,,,,,,,,,
June 15th ,Abundance Dinner ,6:00 PM,Poli-Awareness Operators/Founders,venue? ,Inclusive Abundance (3k(),"$3,000.00",,,"we lead on invite, we invite our entire network and they can also hit their network ",,
June 13th,Sweet Honey Farm with Rooftop Series,,,Sweet Honey Farm,,,,,,,
June 11th,The Collective Poker Series,,,,,,,,,,
June x ,Space Auction with Joopiter,,@spence get more info,,,,,,,,
June 27-30th,GP Labs Amsterdam Trip ,All Day,,"Amsterdam, Netherlands",,,,,,,
,TOTALS,,,,,,,,,,
July,,,,,,,,,,,
,,,,,,,,,,,
July 9th,The Collective Poker Series,,,,,,,,,,
July 16th ,Casino Night ,,100ppl,"The portrait bar, library at the public, maxwell social",Multiple ,,,,,,
July 25th,Hamptons Polo Weekend 2,,,,,,,,,,
,TOTALS,,,,,,,,,,
August,,,,,,,,,,,
August 14-16,Chamberlain Art Shelter Island and Yacht Cruise,,,,,,,,,,
August 13th,The Collective Poker Series,,,,,,,,,,
,TOTALS,,,,,,,,,,
September,,,,,,,,,,,
,,,,,,,,,,,
September 10th,The Collective Poker Series,,,,,,,,,,
,,,,,,,,,,,
,TOTALS,,,,,,,,,,
October,,,,,,,,,,,
October 1st,The Collective Poker Series,,,,,,,,,,
,,,,,,,,,,,
November,,,,,,,,,,,
conference ,Super Secret Tech Conference ,,,,,,,,,,
November 5th,The Collective Poker Series,,,,,,,,,,
,,,,,,,,,,,
December,,,,,,,,,,,
December 10th,The Collective Poker Series Invitational,,,,,,,,,,
